ability_id,local_language_id,effect
1,9,Has a 10% chance of making target Pokémon [flinch]{mechanic:flinch} with each hit.
2,9,Summons [rain]{mechanic:rain} that lasts indefinitely upon entering battle.
3,9,Raises [Speed]{mechanic:speed} one [stage]{mechanic:stat-modifier} after each turn.
4,9,Protects against [critical hits]{mechanic:critical-hit}.
5,9,"Prevents being KOed from full [HP]{mechanic:hp}, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
6,9,"Prevents []{move:self-destruct}, []{move:explosion}, and []{ability:aftermath} from working while the Pokémon is in battle."
7,9,Prevents [paralysis]{mechanic:paralysis}.
8,9,Increases [evasion]{mechanic:evasion} to 1.25× during a [sandstorm]{mechanic:sandstorm}.  Protects against sandstorm damage.
9,9,Has a 30% chance of [paralyzing]{mechanic:paralysis} attacking Pokémon on contact.
10,9,"Absorbs []{type:electric} moves, healing for 1/4 max [HP]{mechanic:hp}."
11,9,"Absorbs []{type:water} moves, healing for 1/4 max [HP]{mechanic:hp}."
12,9,Prevents [infatuation]{mechanic:infatuation} and protects against []{move:captivate}.
13,9,"Negates all effects of [weather]{mechanic:weather}, but does not prevent the weather itself."
14,9,Increases moves' [accuracy]{mechanic:accuracy} to 1.3×.
15,9,Prevents [sleep]{mechanic:sleep}.
16,9,Changes type to match when hit by a damaging move.
17,9,Prevents [poison]{mechanic:poison}.
18,9,"Protects against []{type:fire} moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle."
19,9,Protects against incoming moves' extra effects.
20,9,Prevents [confusion]{mechanic:confusion}.
21,9,Prevents being forced out of battle by other Pokémon's moves.
22,9,Lowers opponents' [Attack]{mechanic:attack} one [stage]{mechanic:stat-modifier} upon entering battle.
23,9,Prevents opponents from fleeing or switching out.
24,9,Damages attacking Pokémon for 1/8 their max [HP]{mechanic:hp} on contact.
25,9,Protects against damaging moves that are not [super effective]{mechanic:super-effective}.
26,9,Evades []{type:ground} moves.
27,9,"Has a 30% chance of inflcting either [paralysis]{mechanic:paralysis}, [poison]{mechanic:poison}, or [sleep]{mechanic:sleep} on attacking Pokémon on contact."
28,9,"Copies [burns]{mechanic:burn}, [paralysis]{mechanic:paralysis}, and [poison]{mechanic:poison} received onto the Pokémon that inflicted them."
29,9,Prevents stats from being [lowered]{mechanic:stat-modifier} by other Pokémon.
30,9,Cures any [major status ailment]{mechanic:major-status-ailment} upon switching out.
31,9,"Redirects single-target []{type:electric} moves to this Pokémon where possible.  Absorbs Electric moves, raising [Special Attack]{mechanic:special-attack} one [stage]{mechanic:stat-modifier}."
32,9,Doubles the chance of moves' extra effects occurring.
33,9,Doubles [Speed]{mechanic:speed} during [rain]{mechanic:rain}.
34,9,Doubles [Speed]{mechanic:speed} during [strong sunlight]{mechanic:strong-sunlight}.
35,9,Doubles the wild encounter rate.
36,9,Copies an opponent's ability upon entering battle.
37,9,Doubles [Attack]{mechanic:attack} in battle.
38,9,Has a 30% chance of [poisoning]{mechanic:poison} attacking Pokémon on contact.
39,9,Prevents [flinching]{mechanic:flinching}.
40,9,Prevents [freezing]{mechanic:freezing}.
41,9,Prevents [burns]{mechanic:burn}.
42,9,Prevents []{type:steel} opponents from fleeing or switching out.
43,9,Protects against sound-based moves.
44,9,Heals for 1/16 max [HP]{mechanic:hp} after each turn during [rain]{mechanic:rain}.
45,9,Summons a [sandstorm]{mechanic:sandstorm} that lasts indefinitely upon entering battle.
46,9,Increases the [PP]{mechanic:pp} cost of moves targetting the Pokémon by one.
47,9,Halves damage from []{type:fire} and []{type:ice} moves.
48,9,Makes [sleep]{mechanic:sleep} pass twice as quickly.
49,9,Has a 30% chance of [burning]{mechanic:burn} attacking Pokémon on contact.
50,9,Ensures success fleeing from wild battles.
51,9,Prevents [accuracy]{mechanic:accuracy} from being [lowered]{mechanic:stat-modifier}.
52,9,Prevents [Attack]{mechanic:attack} from being [lowered]{mechanic:stat-modifiers} by other Pokémon.
53,9,Picks up other Pokémon's used and [Flung]{move:fling} held items.  May also pick up an item after battle.
54,9,Skips every second turn.
55,9,"Strengthens physical moves to inflict 1.5× damage, but decreases their [accuracy]{mechanic:accuracy} to 0.8×."
56,9,Has a 30% chance of [infatuating]{mechanic:infatuation} attacking Pokémon on contact.
57,9,Increases [Special Attack]{mechanic:special-attack} to 1.5× when a friendly Pokémon has []{ability:plus} or []{ability:minus}.
58,9,Increases [Special Attack]{mechanic:special-attack} to 1.5× when a friendly Pokémon has []{ability:plus} or []{ability:minus}.
59,9,Changes []{pokemon:castform}'s type and form to match the [weather]{mechanic:weather}.
60,9,Prevents a held item from being removed by other Pokémon.
61,9,Has a 33% chance of curing any [major status ailment]{mechanic:major-status-ailment} after each turn.
62,9,Increases [Attack]{mechanic:attack} to 1.5× with a [major status ailment]{mechanic:major-status-ailment}.
63,9,Increases [Defense]{mechanic:defense} to 1.5× with a [major status ailment]{mechanic:major-status-ailment}.
64,9,Damages opponents using leeching moves for as much as they would heal.
